Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Primary Equipment ,Primary Items,Posture,Body Region
Alternating Single Arm Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Double Kettlebell Waiter Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Alternating Overhead Press,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,2,Standing,Full Body
Double Kettlebell Waiter Clean to Thruster,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,2,Standing,Full Body
Parallette Push Up to L Sit,Video Demonstration,,Advanced,Chest,Pectoralis Major,Parallette Bars,2,Prone,Upper Body
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Kettlebell,1,Half Kneeling,Midsection
Single Arm Plate Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Weight Plate,1,Standing,Midsection
Single Arm Plate Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Weight Plate,1,Supine,Full Body
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,1,Single Leg Standing Bent Knee,Upper Body
Double Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Kettlebell,2,Supine,Full Body
Double Kettlebell Snatch to Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Standing,Full Body
Ring Standing Rollout,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Standing,Midsection
Ring Alternating Single Arm Reach Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Ring L Sit Dips,Video Demonstration,,Advanced,Triceps,Triceps Brachii ,Gymnastic Rings,2,Hanging,Upper Body
Single Ring Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,1,Hanging,Upper Body
Double Kettlebell Windmill,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Kettlebell,2,Standing,Midsection
Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,2,Hanging,Upper Body
Single Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,1,Hanging,Upper Body
Ring Maltese Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Gymnastic Rings,2,Prone,Upper Body
Ring Tuck Planche,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,,
Ring Pelican Curl,Video Demonstration,Video Explanation,Advanced,Biceps,Biceps Brachii,Gymnastic Rings,2,Hanging,Upper Body
Single Arm Kettlebell Tactical Clean,Video Demonstration,,Advanced,Glutes,Gluteus Maximus,Kettlebell,1,Standing,Full Body
Pseudo Planche Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Single Arm Kettlebell Rotational Snatch,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Kettlebell,1,Standing,Full Body
Ring Hanging Knees to Elbows,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Double Kettlebell Suitcase Deficit Bulgarian Split Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,2,Single Leg Supported,Lower Body
Battle Rope Single Leg Balance Alternating Wave,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Battle Ropes,1,Single Leg Standing,Upper Body
Slider Single Leg Hamstring Curl,Video Demonstration,,Advanced,Hamstrings,Biceps Femoris,Sliders,1,Supine,Lower Body
Barbell Overhead Alternating Cossack Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Lower Body
Barbell Overhead Alternating Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Lower Body
Double Kettlebell Feet Elevated Renegade Row,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Kettlebell,2,Prone,Upper Body
Double Kettlebell Feet Elevated Renegade Row Push Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Kettlebell,2,Prone,Upper Body
Barbell Hang Squat Clean,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Barbell,1,Standing,Full Body
Bulgarian Bag Spin,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Bulgarian Bag,1,Standing,Upper Body
Bulgarian Bag Alternating Spin to Side Swing Squat,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Bulgarian Bag,1,Standing,Full Body
Bulgarian Bag Alternating Side Swing Squat,Video Demonstration,,Advanced,Abdominals,Obliques,Bulgarian Bag,1,Standing,Full Body
